date,game_pk,umpire_id,umpire_name
2026-04-26,823068,545402,John Bacon
2026-04-26,823230,575629,Shane Livensparger
2026-04-26,823635,503502,Ryan Blakney
2026-04-26,823637,665299,Louie Krupa
2026-04-26,823797,484499,Manny Gonzalez
2026-04-26,823959,623946,Malachi Moore
2026-04-26,824122,623945,Alex MacKay
2026-04-26,824202,605672,Jeremie Rehak
2026-04-26,824528,427366,Brian O'Nora
2026-04-26,824612,605674,Ryan Wills
2026-04-26,824852,605673,Alex Tosi
2026-04-26,824934,483912,Mike Muchlinski
2026-04-26,825094,608093,Junior Valentine
2026-04-27,822825,427243,Marvin Hudson
2026-04-27,822906,483630,John Tumpane
2026-04-27,823311,605670,Dan Merzel
2026-04-27,823395,503490,Chris Segal
2026-04-27,823719,573597,Gabe Morales
2026-04-27,823961,503586,Tripp Gibson
2026-04-27,824446,658082,Jacob Metz
2026-04-27,824609,427537,Hunter Wendelstedt
2026-04-28,822823,639723,Brennan Miller
2026-04-28,822908,482620,Chris Conroy
2026-04-28,823310,483564,Dan Bellino
2026-04-28,823390,623938,Erich Bacchus
2026-04-28,823473,598411,Nestor Ceja
2026-04-28,823636,489985,Chad Whitson
2026-04-28,823716,427139,Doug Eddings
2026-04-28,823798,483561,Lance Barrett
2026-04-28,823956,623949,Clint Vondrak
2026-04-28,824447,665297,Tom Hanahan
2026-04-28,824526,547380,Carlos Torres
2026-04-28,824610,544728,Nic Lentz
2026-04-28,824849,490319,Jordan Baker
2026-04-28,824931,484198,Alan Porter
2026-04-28,825017,503493,Sean Barber
2026-04-29,822821,676581,James Jean
2026-04-29,822907,658325,Tyler Jones
2026-04-29,823312,483919,Mark Ripperger
2026-04-29,823392,427113,Laz Diaz
2026-04-29,823633,427344,Bill Miller
2026-04-29,823717,665298,Dexter Kelley
2026-04-29,823796,427315,Alfonso Márquez
2026-04-29,823958,658536,Austin Jones
2026-04-29,824445,482608,Scott Barry
2026-04-29,824525,608158,Nate Tomlinson
2026-04-29,824608,483569,Vic Carapazza
2026-04-29,824930,504381,Will Little
